id,item,kind,judgment,presentation,participants,items
1,4,ambig_pronoun,7,text,19,12
1,11,ambig_pronoun,7,text,19,12
1,8,ambig_pronoun,7,text,19,12
1,6,ambig_pronoun,7,text,19,12
1,3,ambig_pronoun,7,text,19,12
1,12,ambig_pronoun,7,text,19,12
1,2,ambig_pronoun,7,text,19,12
1,5,ambig_pronoun,7,text,19,12
1,9,ambig_pronoun,7,text,19,12
1,1,ambig_pronoun,7,text,19,12
1,10,ambig_pronoun,3,text,19,12
1,7,ambig_pronoun,7,text,19,12
2,4,ambig_pronoun,7,text,19,12
2,11,ambig_pronoun,6,text,19,12
2,8,ambig_pronoun,7,text,19,12
2,6,ambig_pronoun,6,text,19,12
2,3,ambig_pronoun,7,text,19,12
2,12,ambig_pronoun,6,text,19,12
2,2,ambig_pronoun,4,text,19,12
2,5,ambig_pronoun,7,text,19,12
2,9,ambig_pronoun,6,text,19,12
2,1,ambig_pronoun,7,text,19,12
2,10,ambig_pronoun,2,text,19,12
2,7,ambig_pronoun,7,text,19,12
3,4,ambig_pronoun,7,text,19,12
3,11,ambig_pronoun,7,text,19,12
3,8,ambig_pronoun,7,text,19,12
3,6,ambig_pronoun,7,text,19,12
3,3,ambig_pronoun,7,text,19,12
3,12,ambig_pronoun,7,text,19,12
3,2,ambig_pronoun,7,text,19,12
3,5,ambig_pronoun,7,text,19,12
3,9,ambig_pronoun,5,text,19,12
3,1,ambig_pronoun,4,text,19,12
3,10,ambig_pronoun,3,text,19,12
3,7,ambig_pronoun,7,text,19,12
4,7,ambig_pronoun,7,text,19,12
4,10,ambig_pronoun,4,text,19,12
4,1,ambig_pronoun,7,text,19,12
4,9,ambig_pronoun,5,text,19,12
4,5,ambig_pronoun,7,text,19,12
4,2,ambig_pronoun,7,text,19,12
4,12,ambig_pronoun,7,text,19,12
4,3,ambig_pronoun,7,text,19,12
4,6,ambig_pronoun,7,text,19,12
4,8,ambig_pronoun,6,text,19,12
4,11,ambig_pronoun,6,text,19,12
4,4,ambig_pronoun,7,text,19,12
5,7,ambig_pronoun,6,text,19,12
5,10,ambig_pronoun,4,text,19,12
5,1,ambig_pronoun,2,text,19,12
5,9,ambig_pronoun,7,text,19,12
5,5,ambig_pronoun,7,text,19,12
5,2,ambig_pronoun,3,text,19,12
5,12,ambig_pronoun,6,text,19,12
5,3,ambig_pronoun,5,text,19,12
5,6,ambig_pronoun,6,text,19,12
5,8,ambig_pronoun,6,text,19,12
5,11,ambig_pronoun,6,text,19,12
5,4,ambig_pronoun,6,text,19,12
6,12,ambig_pronoun,6,text,19,12
6,10,ambig_pronoun,1,text,19,12
6,6,ambig_pronoun,7,text,19,12
6,8,ambig_pronoun,7,text,19,12
6,1,ambig_pronoun,7,text,19,12
6,9,ambig_pronoun,7,text,19,12
6,4,ambig_pronoun,7,text,19,12
6,5,ambig_pronoun,7,text,19,12
6,2,ambig_pronoun,3,text,19,12
6,3,ambig_pronoun,6,text,19,12
6,11,ambig_pronoun,7,text,19,12
6,7,ambig_pronoun,7,text,19,12
7,12,ambig_pronoun,7,text,19,12
7,10,ambig_pronoun,1,text,19,12
7,6,ambig_pronoun,7,text,19,12
7,8,ambig_pronoun,6,text,19,12
7,1,ambig_pronoun,7,text,19,12
7,9,ambig_pronoun,7,text,19,12
7,4,ambig_pronoun,7,text,19,12
7,5,ambig_pronoun,7,text,19,12
7,2,ambig_pronoun,7,text,19,12
7,3,ambig_pronoun,6,text,19,12
7,11,ambig_pronoun,7,text,19,12
7,7,ambig_pronoun,6,text,19,12
8,12,ambig_pronoun,5,text,19,12
8,10,ambig_pronoun,4,text,19,12
