id,item,kind,judgment,presentation,participants,items
2,1,belief_bedauern,3,text,50,18
5,1,belief_bedauern,4,text,50,18
9,1,belief_bedauern,2,text,50,18
12,1,belief_bedauern,5,text,50,18
16,1,belief_bedauern,7,text,50,18
19,1,belief_bedauern,3,text,50,18
22,1,belief_bedauern,5,text,50,18
25,1,belief_bedauern,5,text,50,18
3,2,belief_bedauern,6,text,50,18
6,2,belief_bedauern,5,text,50,18
10,2,belief_bedauern,4,text,50,18
13,2,belief_bedauern,7,text,50,18
17,2,belief_bedauern,1,text,50,18
20,2,belief_bedauern,5,text,50,18
23,2,belief_bedauern,3,text,50,18
26,2,belief_bedauern,6,text,50,18
1,3,belief_bedauern,5,text,50,18
4,3,belief_bedauern,2,text,50,18
7,3,belief_bedauern,2,text,50,18
8,3,belief_bedauern,6,text,50,18
11,3,belief_bedauern,6,text,50,18
14,3,belief_bedauern,3,text,50,18
15,3,belief_bedauern,5,text,50,18
18,3,belief_bedauern,5,text,50,18
21,3,belief_bedauern,5,text,50,18
24,3,belief_bedauern,4,text,50,18
2,4,belief_bedauern,3,text,50,18
5,4,belief_bedauern,2,text,50,18
9,4,belief_bedauern,2,text,50,18
12,4,belief_bedauern,5,text,50,18
16,4,belief_bedauern,7,text,50,18
19,4,belief_bedauern,2,text,50,18
22,4,belief_bedauern,4,text,50,18
25,4,belief_bedauern,6,text,50,18
3,5,belief_bedauern,6,text,50,18
6,5,belief_bedauern,5,text,50,18
10,5,belief_bedauern,4,text,50,18
13,5,belief_bedauern,2,text,50,18
17,5,belief_bedauern,1,text,50,18
20,5,belief_bedauern,1,text,50,18
23,5,belief_bedauern,4,text,50,18
26,5,belief_bedauern,4,text,50,18
1,6,belief_bedauern,7,text,50,18
4,6,belief_bedauern,5,text,50,18
7,6,belief_bedauern,2,text,50,18
8,6,belief_bedauern,6,text,50,18
11,6,belief_bedauern,7,text,50,18
14,6,belief_bedauern,1,text,50,18
15,6,belief_bedauern,7,text,50,18
18,6,belief_bedauern,1,text,50,18
21,6,belief_bedauern,1,text,50,18
24,6,belief_bedauern,3,text,50,18
2,7,belief_bedauern,3,text,50,18
5,7,belief_bedauern,3,text,50,18
9,7,belief_bedauern,3,text,50,18
12,7,belief_bedauern,6,text,50,18
16,7,belief_bedauern,3,text,50,18
19,7,belief_bedauern,3,text,50,18
22,7,belief_bedauern,3,text,50,18
25,7,belief_bedauern,6,text,50,18
3,8,belief_bedauern,4,text,50,18
6,8,belief_bedauern,5,text,50,18
10,8,belief_bedauern,3,text,50,18
13,8,belief_bedauern,7,text,50,18
17,8,belief_bedauern,1,text,50,18
20,8,belief_bedauern,5,text,50,18
23,8,belief_bedauern,5,text,50,18
26,8,belief_bedauern,3,text,50,18
1,9,belief_bedauern,3,text,50,18
4,9,belief_bedauern,6,text,50,18
7,9,belief_bedauern,1,text,50,18
8,9,belief_bedauern,6,text,50,18
11,9,belief_bedauern,7,text,50,18
14,9,belief_bedauern,6,text,50,18
15,9,belief_bedauern,1,text,50,18
18,9,belief_bedauern,1,text,50,18
21,9,belief_bedauern,1,text,50,18
24,9,belief_bedauern,3,text,50,18
2,10,belief_bedauern,3,text,50,18
5,10,belief_bedauern,3,text,50,18
9,10,belief_bedauern,3,text,50,18
12,10,belief_bedauern,5,text,50,18
16,10,belief_bedauern,4,text,50,18
19,10,belief_bedauern,2,text,50,18
22,10,belief_bedauern,4,text,50,18
25,10,belief_bedauern,5,text,50,18
3,11,belief_bedauern,4,text,50,18
6,11,belief_bedauern,4,text,50,18
10,11,belief_bedauern,5,text,50,18
13,11,belief_bedauern,4,text,50,18
17,11,belief_bedauern,3,text,50,18
20,11,belief_bedauern,4,text,50,18
23,11,belief_bedauern,5,text,50,18
26,11,belief_bedauern,4,text,50,18
1,12,belief_bedauern,2,text,50,18
4,12,belief_bedauern,7,text,50,18
7,12,belief_bedauern,2,text,50,18
8,12,belief_bedauern,5,text,50,18
11,12,belief_bedauern,7,text,50,18
14,12,belief_bedauern,7,text,50,18
15,12,belief_bedauern,1,text,50,18
18,12,belief_bedauern,5,text,50,18
21,12,belief_bedauern,6,text,50,18
24,12,belief_bedauern,5,text,50,18
2,13,belief_bedauern,3,text,50,18
5,13,belief_bedauern,3,text,50,18
9,13,belief_bedauern,2,text,50,18
12,13,belief_bedauern,5,text,50,18
16,13,belief_bedauern,5,text,50,18
19,13,belief_bedauern,3,text,50,18
22,13,belief_bedauern,5,text,50,18
25,13,belief_bedauern,7,text,50,18
3,14,belief_bedauern,3,text,50,18
6,14,belief_bedauern,5,text,50,18
10,14,belief_bedauern,4,text,50,18
13,14,belief_bedauern,1,text,50,18
17,14,belief_bedauern,4,text,50,18
20,14,belief_bedauern,3,text,50,18
23,14,belief_bedauern,6,text,50,18
26,14,belief_bedauern,4,text,50,18
1,15,belief_bedauern,6,text,50,18
4,15,belief_bedauern,6,text,50,18
7,15,belief_bedauern,2,text,50,18
8,15,belief_bedauern,6,text,50,18
11,15,belief_bedauern,6,text,50,18
14,15,belief_bedauern,5,text,50,18
15,15,belief_bedauern,1,text,50,18
18,15,belief_bedauern,3,text,50,18
21,15,belief_bedauern,3,text,50,18
24,15,belief_bedauern,4,text,50,18
2,16,belief_bedauern,4,text,50,18
5,16,belief_bedauern,3,text,50,18
9,16,belief_bedauern,2,text,50,18
12,16,belief_bedauern,5,text,50,18
16,16,belief_bedauern,7,text,50,18
19,16,belief_bedauern,3,text,50,18
22,16,belief_bedauern,1,text,50,18
25,16,belief_bedauern,7,text,50,18
3,17,belief_bedauern,6,text,50,18
6,17,belief_bedauern,4,text,50,18
10,17,belief_bedauern,3,text,50,18
13,17,belief_bedauern,7,text,50,18
17,17,belief_bedauern,3,text,50,18
20,17,belief_bedauern,3,text,50,18
23,17,belief_bedauern,5,text,50,18
26,17,belief_bedauern,3,text,50,18
1,18,belief_bedauern,7,text,50,18
4,18,belief_bedauern,7,text,50,18
7,18,belief_bedauern,2,text,50,18
8,18,belief_bedauern,6,text,50,18
11,18,belief_bedauern,7,text,50,18
14,18,belief_bedauern,7,text,50,18
15,18,belief_bedauern,6,text,50,18
18,18,belief_bedauern,4,text,50,18
21,18,belief_bedauern,2,text,50,18
24,18,belief_bedauern,2,text,50,18
27,15,belief_bedauern,3,text,50,18
27,12,belief_bedauern,7,text,50,18
27,9,belief_bedauern,7,text,50,18
27,18,belief_bedauern,7,text,50,18
27,6,belief_bedauern,6,text,50,18
27,3,belief_bedauern,7,text,50,18
28,10,belief_bedauern,2,text,50,18
28,13,belief_bedauern,1,text,50,18
28,4,belief_bedauern,5,text,50,18
28,7,belief_bedauern,5,text,50,18
28,16,belief_bedauern,2,text,50,18
28,1,belief_bedauern,2,text,50,18
29,17,belief_bedauern,4,text,50,18
29,11,belief_bedauern,2,text,50,18
29,8,belief_bedauern,2,text,50,18
29,14,belief_bedauern,2,text,50,18
29,2,belief_bedauern,5,text,50,18
29,5,belief_bedauern,1,text,50,18
30,12,belief_bedauern,4,text,50,18
30,15,belief_bedauern,5,text,50,18
30,3,belief_bedauern,4,text,50,18
30,9,belief_bedauern,5,text,50,18
30,6,belief_bedauern,4,text,50,18
30,18,belief_bedauern,5,text,50,18
31,10,belief_bedauern,1,text,50,18
31,7,belief_bedauern,2,text,50,18
31,4,belief_bedauern,2,text,50,18
31,1,belief_bedauern,2,text,50,18
31,13,belief_bedauern,3,text,50,18
31,16,belief_bedauern,3,text,50,18
32,11,belief_bedauern,6,text,50,18
32,17,belief_bedauern,3,text,50,18
32,5,belief_bedauern,3,text,50,18
32,8,belief_bedauern,4,text,50,18
32,2,belief_bedauern,5,text,50,18
32,14,belief_bedauern,3,text,50,18
33,6,belief_bedauern,5,text,50,18
33,12,belief_bedauern,7,text,50,18
33,3,belief_bedauern,5,text,50,18
33,9,belief_bedauern,3,text,50,18
33,18,belief_bedauern,2,text,50,18
33,15,belief_bedauern,5,text,50,18
34,7,belief_bedauern,6,text,50,18
34,4,belief_bedauern,7,text,50,18
34,1,belief_bedauern,7,text,50,18
34,13,belief_bedauern,6,text,50,18
34,16,belief_bedauern,7,text,50,18
34,10,belief_bedauern,7,text,50,18
35,2,belief_bedauern,3,text,50,18
35,8,belief_bedauern,4,text,50,18
35,11,belief_bedauern,3,text,50,18
35,14,belief_bedauern,5,text,50,18
35,17,belief_bedauern,3,text,50,18
35,5,belief_bedauern,6,text,50,18
36,3,belief_bedauern,7,text,50,18
36,9,belief_bedauern,3,text,50,18
36,15,belief_bedauern,6,text,50,18
36,6,belief_bedauern,7,text,50,18
36,18,belief_bedauern,6,text,50,18
36,12,belief_bedauern,7,text,50,18
37,4,belief_bedauern,5,text,50,18
37,13,belief_bedauern,4,text,50,18
37,10,belief_bedauern,3,text,50,18
37,1,belief_bedauern,5,text,50,18
37,16,belief_bedauern,4,text,50,18
37,7,belief_bedauern,6,text,50,18
38,17,belief_bedauern,3,text,50,18
38,2,belief_bedauern,4,text,50,18
38,14,belief_bedauern,2,text,50,18
38,5,belief_bedauern,3,text,50,18
38,11,belief_bedauern,3,text,50,18
38,8,belief_bedauern,1,text,50,18
39,3,belief_bedauern,5,text,50,18
39,6,belief_bedauern,4,text,50,18
39,18,belief_bedauern,4,text,50,18
39,9,belief_bedauern,5,text,50,18
39,12,belief_bedauern,5,text,50,18
39,15,belief_bedauern,3,text,50,18
40,1,belief_bedauern,2,text,50,18
40,16,belief_bedauern,5,text,50,18
40,7,belief_bedauern,5,text,50,18
40,4,belief_bedauern,4,text,50,18
40,13,belief_bedauern,6,text,50,18
40,10,belief_bedauern,6,text,50,18
41,5,belief_bedauern,2,text,50,18
41,2,belief_bedauern,7,text,50,18
41,14,belief_bedauern,3,text,50,18
41,8,belief_bedauern,2,text,50,18
41,11,belief_bedauern,7,text,50,18
41,17,belief_bedauern,5,text,50,18
42,18,belief_bedauern,5,text,50,18
42,6,belief_bedauern,5,text,50,18
42,9,belief_bedauern,3,text,50,18
42,3,belief_bedauern,4,text,50,18
42,15,belief_bedauern,7,text,50,18
42,12,belief_bedauern,7,text,50,18
43,16,belief_bedauern,7,text,50,18
43,13,belief_bedauern,7,text,50,18
43,1,belief_bedauern,4,text,50,18
43,4,belief_bedauern,2,text,50,18
43,7,belief_bedauern,3,text,50,18
43,10,belief_bedauern,2,text,50,18
44,14,belief_bedauern,6,text,50,18
44,2,belief_bedauern,1,text,50,18
44,8,belief_bedauern,1,text,50,18
44,5,belief_bedauern,1,text,50,18
44,17,belief_bedauern,5,text,50,18
44,11,belief_bedauern,3,text,50,18
45,15,belief_bedauern,3,text,50,18
45,18,belief_bedauern,5,text,50,18
45,9,belief_bedauern,2,text,50,18
45,3,belief_bedauern,5,text,50,18
45,12,belief_bedauern,6,text,50,18
45,6,belief_bedauern,4,text,50,18
46,10,belief_bedauern,5,text,50,18
46,16,belief_bedauern,6,text,50,18
46,13,belief_bedauern,3,text,50,18
46,1,belief_bedauern,2,text,50,18
46,4,belief_bedauern,3,text,50,18
46,7,belief_bedauern,4,text,50,18
47,5,belief_bedauern,5,text,50,18
47,17,belief_bedauern,6,text,50,18
47,14,belief_bedauern,6,text,50,18
47,11,belief_bedauern,6,text,50,18
47,8,belief_bedauern,7,text,50,18
47,2,belief_bedauern,7,text,50,18
48,12,belief_bedauern,4,text,50,18
48,18,belief_bedauern,2,text,50,18
48,6,belief_bedauern,2,text,50,18
48,15,belief_bedauern,3,text,50,18
48,9,belief_bedauern,2,text,50,18
48,3,belief_bedauern,2,text,50,18
49,7,belief_bedauern,5,text,50,18
49,16,belief_bedauern,4,text,50,18
49,1,belief_bedauern,4,text,50,18
49,10,belief_bedauern,2,text,50,18
49,13,belief_bedauern,4,text,50,18
49,4,belief_bedauern,5,text,50,18
50,8,belief_bedauern,2,text,50,18
50,11,belief_bedauern,2,text,50,18
50,5,belief_bedauern,5,text,50,18
50,14,belief_bedauern,4,text,50,18
50,2,belief_bedauern,3,text,50,18
50,17,belief_bedauern,7,text,50,18
