id,item,kind,judgment,presentation,participants,items
3,1,belief_erinnern,5,text,50,18
6,1,belief_erinnern,5,text,50,18
10,1,belief_erinnern,3,text,50,18
13,1,belief_erinnern,5,text,50,18
17,1,belief_erinnern,7,text,50,18
20,1,belief_erinnern,2,text,50,18
23,1,belief_erinnern,2,text,50,18
26,1,belief_erinnern,4,text,50,18
1,2,belief_erinnern,2,text,50,18
4,2,belief_erinnern,5,text,50,18
7,2,belief_erinnern,2,text,50,18
8,2,belief_erinnern,5,text,50,18
11,2,belief_erinnern,5,text,50,18
14,2,belief_erinnern,3,text,50,18
15,2,belief_erinnern,5,text,50,18
18,2,belief_erinnern,5,text,50,18
21,2,belief_erinnern,6,text,50,18
24,2,belief_erinnern,2,text,50,18
2,3,belief_erinnern,3,text,50,18
5,3,belief_erinnern,4,text,50,18
9,3,belief_erinnern,4,text,50,18
12,3,belief_erinnern,4,text,50,18
16,3,belief_erinnern,1,text,50,18
19,3,belief_erinnern,2,text,50,18
22,3,belief_erinnern,4,text,50,18
25,3,belief_erinnern,4,text,50,18
3,4,belief_erinnern,5,text,50,18
6,4,belief_erinnern,5,text,50,18
10,4,belief_erinnern,6,text,50,18
13,4,belief_erinnern,7,text,50,18
17,4,belief_erinnern,1,text,50,18
20,4,belief_erinnern,4,text,50,18
23,4,belief_erinnern,2,text,50,18
26,4,belief_erinnern,4,text,50,18
1,5,belief_erinnern,7,text,50,18
4,5,belief_erinnern,5,text,50,18
7,5,belief_erinnern,2,text,50,18
8,5,belief_erinnern,7,text,50,18
11,5,belief_erinnern,6,text,50,18
14,5,belief_erinnern,5,text,50,18
15,5,belief_erinnern,7,text,50,18
18,5,belief_erinnern,2,text,50,18
21,5,belief_erinnern,6,text,50,18
24,5,belief_erinnern,2,text,50,18
2,6,belief_erinnern,3,text,50,18
5,6,belief_erinnern,5,text,50,18
9,6,belief_erinnern,4,text,50,18
12,6,belief_erinnern,5,text,50,18
16,6,belief_erinnern,6,text,50,18
19,6,belief_erinnern,4,text,50,18
22,6,belief_erinnern,6,text,50,18
25,6,belief_erinnern,5,text,50,18
3,7,belief_erinnern,4,text,50,18
6,7,belief_erinnern,4,text,50,18
10,7,belief_erinnern,4,text,50,18
13,7,belief_erinnern,7,text,50,18
17,7,belief_erinnern,1,text,50,18
20,7,belief_erinnern,3,text,50,18
