id,item,kind,judgment,presentation,participants,items
1,1,belief_froh,4,text,50,18
4,1,belief_froh,7,text,50,18
7,1,belief_froh,6,text,50,18
8,1,belief_froh,6,text,50,18
11,1,belief_froh,7,text,50,18
14,1,belief_froh,7,text,50,18
15,1,belief_froh,1,text,50,18
18,1,belief_froh,4,text,50,18
21,1,belief_froh,7,text,50,18
24,1,belief_froh,3,text,50,18
2,2,belief_froh,6,text,50,18
5,2,belief_froh,6,text,50,18
9,2,belief_froh,4,text,50,18
12,2,belief_froh,3,text,50,18
16,2,belief_froh,7,text,50,18
19,2,belief_froh,6,text,50,18
22,2,belief_froh,7,text,50,18
25,2,belief_froh,6,text,50,18
3,3,belief_froh,6,text,50,18
6,3,belief_froh,5,text,50,18
10,3,belief_froh,5,text,50,18
13,3,belief_froh,7,text,50,18
17,3,belief_froh,4,text,50,18
20,3,belief_froh,3,text,50,18
23,3,belief_froh,6,text,50,18
26,3,belief_froh,4,text,50,18
1,4,belief_froh,7,text,50,18
4,4,belief_froh,7,text,50,18
7,4,belief_froh,6,text,50,18
8,4,belief_froh,6,text,50,18
11,4,belief_froh,6,text,50,18
14,4,belief_froh,4,text,50,18
15,4,belief_froh,5,text,50,18
18,4,belief_froh,6,text,50,18
21,4,belief_froh,7,text,50,18
24,4,belief_froh,6,text,50,18
2,5,belief_froh,4,text,50,18
5,5,belief_froh,7,text,50,18
9,5,belief_froh,4,text,50,18
12,5,belief_froh,5,text,50,18
16,5,belief_froh,7,text,50,18
19,5,belief_froh,4,text,50,18
22,5,belief_froh,7,text,50,18
25,5,belief_froh,6,text,50,18
3,6,belief_froh,5,text,50,18
6,6,belief_froh,7,text,50,18
10,6,belief_froh,3,text,50,18
13,6,belief_froh,7,text,50,18
17,6,belief_froh,3,text,50,18
20,6,belief_froh,3,text,50,18
23,6,belief_froh,2,text,50,18
26,6,belief_froh,6,text,50,18
1,7,belief_froh,4,text,50,18
4,7,belief_froh,7,text,50,18
7,7,belief_froh,3,text,50,18
8,7,belief_froh,6,text,50,18
11,7,belief_froh,7,text,50,18
14,7,belief_froh,6,text,50,18
15,7,belief_froh,5,text,50,18
18,7,belief_froh,3,text,50,18
21,7,belief_froh,3,text,50,18
24,7,belief_froh,3,text,50,18
2,8,belief_froh,5,text,50,18
5,8,belief_froh,7,text,50,18
9,8,belief_froh,6,text,50,18
12,8,belief_froh,5,text,50,18
16,8,belief_froh,6,text,50,18
19,8,belief_froh,5,text,50,18
22,8,belief_froh,7,text,50,18
25,8,belief_froh,5,text,50,18
3,9,belief_froh,6,text,50,18
6,9,belief_froh,7,text,50,18
10,9,belief_froh,3,text,50,18
