id,item,kind,judgment,presentation,participants,items
2,1,idiom_scrambled,7,text,50,16
4,1,idiom_scrambled,7,text,50,16
6,1,idiom_scrambled,7,text,50,16
9,1,idiom_scrambled,6,text,50,16
11,1,idiom_scrambled,7,text,50,16
13,1,idiom_scrambled,7,text,50,16
16,1,idiom_scrambled,3,text,50,16
18,1,idiom_scrambled,5,text,50,16
20,1,idiom_scrambled,6,text,50,16
22,1,idiom_scrambled,7,text,50,16
24,1,idiom_scrambled,6,text,50,16
26,1,idiom_scrambled,5,text,50,16
1,2,idiom_scrambled,7,text,50,16
3,2,idiom_scrambled,6,text,50,16
5,2,idiom_scrambled,7,text,50,16
7,2,idiom_scrambled,5,text,50,16
8,2,idiom_scrambled,4,text,50,16
10,2,idiom_scrambled,6,text,50,16
12,2,idiom_scrambled,4,text,50,16
14,2,idiom_scrambled,6,text,50,16
15,2,idiom_scrambled,7,text,50,16
17,2,idiom_scrambled,2,text,50,16
19,2,idiom_scrambled,5,text,50,16
21,2,idiom_scrambled,3,text,50,16
23,2,idiom_scrambled,7,text,50,16
25,2,idiom_scrambled,5,text,50,16
2,3,idiom_scrambled,5,text,50,16
4,3,idiom_scrambled,7,text,50,16
6,3,idiom_scrambled,7,text,50,16
9,3,idiom_scrambled,7,text,50,16
11,3,idiom_scrambled,7,text,50,16
13,3,idiom_scrambled,7,text,50,16
16,3,idiom_scrambled,6,text,50,16
18,3,idiom_scrambled,7,text,50,16
20,3,idiom_scrambled,7,text,50,16
22,3,idiom_scrambled,7,text,50,16
24,3,idiom_scrambled,4,text,50,16
26,3,idiom_scrambled,7,text,50,16
1,4,idiom_scrambled,7,text,50,16
3,4,idiom_scrambled,7,text,50,16
5,4,idiom_scrambled,1,text,50,16
7,4,idiom_scrambled,6,text,50,16
8,4,idiom_scrambled,3,text,50,16
10,4,idiom_scrambled,4,text,50,16
12,4,idiom_scrambled,5,text,50,16
14,4,idiom_scrambled,5,text,50,16
15,4,idiom_scrambled,4,text,50,16
17,4,idiom_scrambled,1,text,50,16
19,4,idiom_scrambled,5,text,50,16
21,4,idiom_scrambled,2,text,50,16
23,4,idiom_scrambled,6,text,50,16
25,4,idiom_scrambled,6,text,50,16
2,5,idiom_scrambled,7,text,50,16
4,5,idiom_scrambled,7,text,50,16
6,5,idiom_scrambled,5,text,50,16
9,5,idiom_scrambled,6,text,50,16
11,5,idiom_scrambled,7,text,50,16
13,5,idiom_scrambled,1,text,50,16
16,5,idiom_scrambled,4,text,50,16
18,5,idiom_scrambled,5,text,50,16
20,5,idiom_scrambled,6,text,50,16
22,5,idiom_scrambled,7,text,50,16
24,5,idiom_scrambled,6,text,50,16
26,5,idiom_scrambled,6,text,50,16
1,6,idiom_scrambled,7,text,50,16
3,6,idiom_scrambled,6,text,50,16
5,6,idiom_scrambled,6,text,50,16
7,6,idiom_scrambled,2,text,50,16
8,6,idiom_scrambled,7,text,50,16
10,6,idiom_scrambled,5,text,50,16
12,6,idiom_scrambled,6,text,50,16
14,6,idiom_scrambled,7,text,50,16
15,6,idiom_scrambled,6,text,50,16
17,6,idiom_scrambled,5,text,50,16
19,6,idiom_scrambled,7,text,50,16
21,6,idiom_scrambled,5,text,50,16
23,6,idiom_scrambled,6,text,50,16
25,6,idiom_scrambled,5,text,50,16
2,7,idiom_scrambled,5,text,50,16
4,7,idiom_scrambled,6,text,50,16
6,7,idiom_scrambled,6,text,50,16
9,7,idiom_scrambled,6,text,50,16
11,7,idiom_scrambled,6,text,50,16
13,7,idiom_scrambled,7,text,50,16
16,7,idiom_scrambled,3,text,50,16
18,7,idiom_scrambled,6,text,50,16
20,7,idiom_scrambled,6,text,50,16
22,7,idiom_scrambled,6,text,50,16
24,7,idiom_scrambled,4,text,50,16
26,7,idiom_scrambled,4,text,50,16
1,8,idiom_scrambled,7,text,50,16
3,8,idiom_scrambled,5,text,50,16
5,8,idiom_scrambled,6,text,50,16
7,8,idiom_scrambled,2,text,50,16
8,8,idiom_scrambled,4,text,50,16
10,8,idiom_scrambled,4,text,50,16
12,8,idiom_scrambled,7,text,50,16
14,8,idiom_scrambled,5,text,50,16
15,8,idiom_scrambled,7,text,50,16
17,8,idiom_scrambled,6,text,50,16
19,8,idiom_scrambled,7,text,50,16
21,8,idiom_scrambled,4,text,50,16
23,8,idiom_scrambled,1,text,50,16
25,8,idiom_scrambled,7,text,50,16
2,9,idiom_scrambled,5,text,50,16
4,9,idiom_scrambled,6,text,50,16
6,9,idiom_scrambled,5,text,50,16
9,9,idiom_scrambled,6,text,50,16
11,9,idiom_scrambled,7,text,50,16
13,9,idiom_scrambled,7,text,50,16
16,9,idiom_scrambled,2,text,50,16
18,9,idiom_scrambled,3,text,50,16
20,9,idiom_scrambled,5,text,50,16
22,9,idiom_scrambled,6,text,50,16
24,9,idiom_scrambled,5,text,50,16
26,9,idiom_scrambled,3,text,50,16
1,10,idiom_scrambled,6,text,50,16
3,10,idiom_scrambled,5,text,50,16
5,10,idiom_scrambled,7,text,50,16
7,10,idiom_scrambled,5,text,50,16
8,10,idiom_scrambled,3,text,50,16
10,10,idiom_scrambled,5,text,50,16
12,10,idiom_scrambled,5,text,50,16
