id,item,kind,judgment,presentation,participants,items
1,1,idiom_unmarked,7,text,50,16
3,1,idiom_unmarked,7,text,50,16
5,1,idiom_unmarked,7,text,50,16
7,1,idiom_unmarked,2,text,50,16
8,1,idiom_unmarked,5,text,50,16
10,1,idiom_unmarked,5,text,50,16
12,1,idiom_unmarked,6,text,50,16
14,1,idiom_unmarked,5,text,50,16
15,1,idiom_unmarked,7,text,50,16
17,1,idiom_unmarked,7,text,50,16
19,1,idiom_unmarked,7,text,50,16
21,1,idiom_unmarked,7,text,50,16
23,1,idiom_unmarked,7,text,50,16
25,1,idiom_unmarked,6,text,50,16
2,2,idiom_unmarked,7,text,50,16
4,2,idiom_unmarked,7,text,50,16
6,2,idiom_unmarked,5,text,50,16
9,2,idiom_unmarked,7,text,50,16
11,2,idiom_unmarked,7,text,50,16
13,2,idiom_unmarked,7,text,50,16
16,2,idiom_unmarked,4,text,50,16
18,2,idiom_unmarked,7,text,50,16
20,2,idiom_unmarked,7,text,50,16
22,2,idiom_unmarked,7,text,50,16
24,2,idiom_unmarked,6,text,50,16
26,2,idiom_unmarked,7,text,50,16
1,3,idiom_unmarked,7,text,50,16
3,3,idiom_unmarked,5,text,50,16
5,3,idiom_unmarked,7,text,50,16
7,3,idiom_unmarked,6,text,50,16
8,3,idiom_unmarked,5,text,50,16
10,3,idiom_unmarked,6,text,50,16
12,3,idiom_unmarked,6,text,50,16
14,3,idiom_unmarked,7,text,50,16
15,3,idiom_unmarked,7,text,50,16
17,3,idiom_unmarked,7,text,50,16
19,3,idiom_unmarked,7,text,50,16
21,3,idiom_unmarked,7,text,50,16
23,3,idiom_unmarked,7,text,50,16
25,3,idiom_unmarked,5,text,50,16
2,4,idiom_unmarked,3,text,50,16
4,4,idiom_unmarked,3,text,50,16
6,4,idiom_unmarked,1,text,50,16
9,4,idiom_unmarked,6,text,50,16
11,4,idiom_unmarked,2,text,50,16
13,4,idiom_unmarked,2,text,50,16
16,4,idiom_unmarked,6,text,50,16
18,4,idiom_unmarked,7,text,50,16
20,4,idiom_unmarked,7,text,50,16
22,4,idiom_unmarked,2,text,50,16
24,4,idiom_unmarked,4,text,50,16
26,4,idiom_unmarked,5,text,50,16
1,5,idiom_unmarked,7,text,50,16
3,5,idiom_unmarked,6,text,50,16
5,5,idiom_unmarked,7,text,50,16
8,5,idiom_unmarked,3,text,50,16
10,5,idiom_unmarked,6,text,50,16
12,5,idiom_unmarked,6,text,50,16
14,5,idiom_unmarked,6,text,50,16
15,5,idiom_unmarked,7,text,50,16
17,5,idiom_unmarked,7,text,50,16
19,5,idiom_unmarked,7,text,50,16
21,5,idiom_unmarked,7,text,50,16
23,5,idiom_unmarked,7,text,50,16
25,5,idiom_unmarked,6,text,50,16
2,6,idiom_unmarked,7,text,50,16
4,6,idiom_unmarked,7,text,50,16
6,6,idiom_unmarked,5,text,50,16
9,6,idiom_unmarked,5,text,50,16
11,6,idiom_unmarked,6,text,50,16
13,6,idiom_unmarked,4,text,50,16
16,6,idiom_unmarked,7,text,50,16
18,6,idiom_unmarked,2,text,50,16
20,6,idiom_unmarked,2,text,50,16
22,6,idiom_unmarked,7,text,50,16
24,6,idiom_unmarked,6,text,50,16
26,6,idiom_unmarked,6,text,50,16
1,7,idiom_unmarked,7,text,50,16
3,7,idiom_unmarked,6,text,50,16
5,7,idiom_unmarked,7,text,50,16
7,7,idiom_unmarked,5,text,50,16
8,7,idiom_unmarked,6,text,50,16
10,7,idiom_unmarked,5,text,50,16
12,7,idiom_unmarked,4,text,50,16
14,7,idiom_unmarked,6,text,50,16
15,7,idiom_unmarked,7,text,50,16
17,7,idiom_unmarked,5,text,50,16
19,7,idiom_unmarked,4,text,50,16
21,7,idiom_unmarked,5,text,50,16
23,7,idiom_unmarked,3,text,50,16
25,7,idiom_unmarked,7,text,50,16
2,8,idiom_unmarked,3,text,50,16
4,8,idiom_unmarked,6,text,50,16
6,8,idiom_unmarked,6,text,50,16
9,8,idiom_unmarked,5,text,50,16
11,8,idiom_unmarked,5,text,50,16
13,8,idiom_unmarked,7,text,50,16
16,8,idiom_unmarked,6,text,50,16
18,8,idiom_unmarked,3,text,50,16
20,8,idiom_unmarked,5,text,50,16
22,8,idiom_unmarked,6,text,50,16
24,8,idiom_unmarked,5,text,50,16
26,8,idiom_unmarked,6,text,50,16
1,9,idiom_unmarked,7,text,50,16
