id,item,kind,judgment,presentation,participants,items
1,3,none,7,text,50,6
1,4,none,7,text,50,6
1,1,none,7,text,50,6
1,5,none,7,text,50,6
1,6,none,7,text,50,6
1,2,none,7,text,50,6
2,3,none,7,text,50,6
2,4,none,7,text,50,6
2,1,none,5,text,50,6
2,5,none,7,text,50,6
2,6,none,7,text,50,6
2,2,none,7,text,50,6
3,3,none,4,text,50,6
3,4,none,7,text,50,6
3,1,none,7,text,50,6
3,5,none,7,text,50,6
3,6,none,7,text,50,6
3,2,none,7,text,50,6
4,3,none,7,text,50,6
4,4,none,7,text,50,6
4,1,none,7,text,50,6
4,5,none,7,text,50,6
4,6,none,7,text,50,6
4,2,none,7,text,50,6
5,1,none,7,text,50,6
5,6,none,7,text,50,6
5,3,none,7,text,50,6
5,5,none,7,text,50,6
5,4,none,6,text,50,6
5,2,none,7,text,50,6
6,1,none,7,text,50,6
6,6,none,7,text,50,6
6,3,none,7,text,50,6
6,5,none,7,text,50,6
6,4,none,7,text,50,6
6,2,none,7,text,50,6
7,1,none,7,text,50,6
7,6,none,7,text,50,6
7,3,none,7,text,50,6
7,5,none,7,text,50,6
7,4,none,2,text,50,6
7,2,none,7,text,50,6
8,1,none,7,text,50,6
8,6,none,7,text,50,6
8,3,none,5,text,50,6
8,5,none,7,text,50,6
8,4,none,7,text,50,6
8,2,none,7,text,50,6
9,3,none,7,text,50,6
9,4,none,7,text,50,6
9,2,none,7,text,50,6
9,5,none,7,text,50,6
9,1,none,7,text,50,6
9,6,none,7,text,50,6
10,3,none,5,text,50,6
10,4,none,7,text,50,6
10,2,none,7,text,50,6
10,5,none,7,text,50,6
10,1,none,7,text,50,6
10,6,none,7,text,50,6
11,3,none,6,text,50,6
11,4,none,7,text,50,6
11,2,none,7,text,50,6
11,5,none,7,text,50,6
11,1,none,7,text,50,6
11,6,none,7,text,50,6
12,3,none,6,text,50,6
12,4,none,7,text,50,6
12,2,none,7,text,50,6
12,5,none,7,text,50,6
12,1,none,7,text,50,6
12,6,none,7,text,50,6
13,5,none,7,text,50,6
13,3,none,7,text,50,6
13,2,none,7,text,50,6
13,1,none,7,text,50,6
13,6,none,7,text,50,6
13,4,none,2,text,50,6
14,5,none,7,text,50,6
14,3,none,6,text,50,6
14,2,none,7,text,50,6
14,1,none,7,text,50,6
14,6,none,7,text,50,6
14,4,none,7,text,50,6
15,5,none,7,text,50,6
15,3,none,4,text,50,6
15,2,none,7,text,50,6
15,1,none,7,text,50,6
15,6,none,7,text,50,6
15,4,none,7,text,50,6
16,5,none,7,text,50,6
16,3,none,5,text,50,6
16,2,none,7,text,50,6
16,1,none,7,text,50,6
16,6,none,7,text,50,6
16,4,none,7,text,50,6
17,2,none,7,text,50,6
17,6,none,7,text,50,6
17,5,none,7,text,50,6
17,1,none,7,text,50,6
17,4,none,5,text,50,6
17,3,none,7,text,50,6
18,2,none,7,text,50,6
18,6,none,7,text,50,6
18,5,none,7,text,50,6
18,1,none,7,text,50,6
18,4,none,7,text,50,6
18,3,none,7,text,50,6
19,2,none,7,text,50,6
19,6,none,7,text,50,6
19,5,none,7,text,50,6
19,1,none,7,text,50,6
19,4,none,7,text,50,6
19,3,none,7,text,50,6
20,2,none,7,text,50,6
20,6,none,7,text,50,6
20,5,none,7,text,50,6
20,1,none,7,text,50,6
20,4,none,NA,text,50,6
20,3,none,7,text,50,6
21,2,none,NA,text,50,6
21,4,none,NA,text,50,6
21,5,none,NA,text,50,6
21,3,none,NA,text,50,6
21,6,none,NA,text,50,6
21,1,none,NA,text,50,6
22,2,none,7,text,50,6
22,4,none,7,text,50,6
22,5,none,7,text,50,6
22,3,none,7,text,50,6
22,6,none,7,text,50,6
22,1,none,7,text,50,6
23,2,none,7,text,50,6
23,4,none,7,text,50,6
23,5,none,7,text,50,6
23,3,none,7,text,50,6
23,6,none,7,text,50,6
23,1,none,7,text,50,6
24,2,none,7,text,50,6
24,4,none,7,text,50,6
24,5,none,7,text,50,6
24,3,none,1,text,50,6
24,6,none,1,text,50,6
24,1,none,7,text,50,6
25,6,none,7,text,50,6
25,1,none,7,text,50,6
25,5,none,7,text,50,6
25,2,none,7,text,50,6
25,4,none,7,text,50,6
25,3,none,7,text,50,6
26,6,none,7,text,50,6
26,1,none,7,text,50,6
26,5,none,7,text,50,6
26,2,none,7,text,50,6
26,4,none,7,text,50,6
26,3,none,7,text,50,6
27,6,none,7,text,50,6
27,1,none,7,text,50,6
27,5,none,7,text,50,6
27,2,none,7,text,50,6
27,4,none,7,text,50,6
27,3,none,7,text,50,6
28,6,none,4,text,50,6
28,1,none,6,text,50,6
28,5,none,5,text,50,6
28,2,none,5,text,50,6
28,4,none,3,text,50,6
28,3,none,5,text,50,6
29,4,none,7,text,50,6
29,6,none,7,text,50,6
29,1,none,7,text,50,6
29,2,none,7,text,50,6
29,3,none,7,text,50,6
29,5,none,7,text,50,6
30,4,none,6,text,50,6
30,6,none,7,text,50,6
30,1,none,7,text,50,6
30,2,none,7,text,50,6
30,3,none,7,text,50,6
30,5,none,7,text,50,6
31,4,none,7,text,50,6
31,6,none,7,text,50,6
31,1,none,7,text,50,6
31,2,none,7,text,50,6
31,3,none,7,text,50,6
31,5,none,7,text,50,6
32,4,none,7,text,50,6
32,6,none,7,text,50,6
32,1,none,7,text,50,6
32,2,none,7,text,50,6
32,3,none,7,text,50,6
32,5,none,7,text,50,6
1,1,none,7,text,50,6
2,1,none,7,text,50,6
3,1,none,7,text,50,6
4,1,none,7,text,50,6
5,1,none,6,text,50,6
6,1,none,7,text,50,6
7,1,none,7,text,50,6
8,1,none,7,text,50,6
9,1,none,7,text,50,6
10,1,none,7,text,50,6
11,1,none,7,text,50,6
12,1,none,6,text,50,6
13,1,none,7,text,50,6
14,1,none,7,text,50,6
15,1,none,7,text,50,6
16,1,none,7,text,50,6
17,1,none,7,text,50,6
18,1,none,7,text,50,6
19,1,none,7,text,50,6
20,1,none,7,text,50,6
21,1,none,4,text,50,6
22,1,none,7,text,50,6
23,1,none,7,text,50,6
24,1,none,7,text,50,6
25,1,none,7,text,50,6
26,1,none,7,text,50,6
1,2,none,7,text,50,6
2,2,none,7,text,50,6
3,2,none,7,text,50,6
4,2,none,7,text,50,6
5,2,none,7,text,50,6
6,2,none,7,text,50,6
7,2,none,7,text,50,6
8,2,none,6,text,50,6
9,2,none,3,text,50,6
10,2,none,5,text,50,6
11,2,none,7,text,50,6
12,2,none,7,text,50,6
13,2,none,7,text,50,6
14,2,none,7,text,50,6
15,2,none,7,text,50,6
16,2,none,7,text,50,6
17,2,none,7,text,50,6
18,2,none,7,text,50,6
19,2,none,7,text,50,6
20,2,none,7,text,50,6
21,2,none,7,text,50,6
22,2,none,7,text,50,6
23,2,none,7,text,50,6
24,2,none,7,text,50,6
25,2,none,7,text,50,6
26,2,none,7,text,50,6
1,3,none,7,text,50,6
2,3,none,7,text,50,6
3,3,none,7,text,50,6
4,3,none,6,text,50,6
5,3,none,6,text,50,6
6,3,none,4,text,50,6
7,3,none,7,text,50,6
8,3,none,5,text,50,6
