id,item,kind,judgment,presentation,participants,items
071362c17b307af0925ac2d94d697527,4,partial_answer,3,audio,45,5
071362c17b307af0925ac2d94d697527,3,partial_answer,3,audio,45,5
071362c17b307af0925ac2d94d697527,1,partial_answer,5,audio,45,5
071362c17b307af0925ac2d94d697527,5,partial_answer,3,audio,45,5
071362c17b307af0925ac2d94d697527,2,partial_answer,3,audio,45,5
cni0v3n4u08lanbc41lvb91nl4,3,partial_answer,2,audio,45,5
cni0v3n4u08lanbc41lvb91nl4,5,partial_answer,2,audio,45,5
cni0v3n4u08lanbc41lvb91nl4,1,partial_answer,2,audio,45,5
cni0v3n4u08lanbc41lvb91nl4,2,partial_answer,2,audio,45,5
cni0v3n4u08lanbc41lvb91nl4,4,partial_answer,2,audio,45,5
c9cuhu3a777bt4j39kum6kp3v6,2,partial_answer,3,audio,45,5
c9cuhu3a777bt4j39kum6kp3v6,1,partial_answer,2,audio,45,5
c9cuhu3a777bt4j39kum6kp3v6,3,partial_answer,2,audio,45,5
c9cuhu3a777bt4j39kum6kp3v6,4,partial_answer,2,audio,45,5
c9cuhu3a777bt4j39kum6kp3v6,5,partial_answer,2,audio,45,5
6hk2ug38419qrom7vcr9jqui64,2,partial_answer,2,audio,45,5
6hk2ug38419qrom7vcr9jqui64,5,partial_answer,2,audio,45,5
6hk2ug38419qrom7vcr9jqui64,3,partial_answer,2,audio,45,5
6hk2ug38419qrom7vcr9jqui64,1,partial_answer,2,audio,45,5
6hk2ug38419qrom7vcr9jqui64,4,partial_answer,1,audio,45,5
mkf458e7ms0o4fmfi9ueet0il0,5,partial_answer,2,audio,45,5
mkf458e7ms0o4fmfi9ueet0il0,2,partial_answer,2,audio,45,5
mkf458e7ms0o4fmfi9ueet0il0,4,partial_answer,2,audio,45,5
mkf458e7ms0o4fmfi9ueet0il0,1,partial_answer,2,audio,45,5
mkf458e7ms0o4fmfi9ueet0il0,3,partial_answer,2,audio,45,5
8v3ac1g6ciqibvqu16me22agn4,5,partial_answer,1,audio,45,5
8v3ac1g6ciqibvqu16me22agn4,4,partial_answer,1,audio,45,5
8v3ac1g6ciqibvqu16me22agn4,2,partial_answer,2,audio,45,5
8v3ac1g6ciqibvqu16me22agn4,3,partial_answer,1,audio,45,5
8v3ac1g6ciqibvqu16me22agn4,1,partial_answer,2,audio,45,5
rbe3eovtakfqc6bi6hbk7vdv15,4,partial_answer,2,audio,45,5
rbe3eovtakfqc6bi6hbk7vdv15,1,partial_answer,2,audio,45,5
rbe3eovtakfqc6bi6hbk7vdv15,5,partial_answer,2,audio,45,5
rbe3eovtakfqc6bi6hbk7vdv15,3,partial_answer,2,audio,45,5
rbe3eovtakfqc6bi6hbk7vdv15,2,partial_answer,2,audio,45,5
b9aa51adb38b3253865392e276b46cad,5,partial_answer,1,audio,45,5
b9aa51adb38b3253865392e276b46cad,2,partial_answer,1,audio,45,5
b9aa51adb38b3253865392e276b46cad,3,partial_answer,2,audio,45,5
b9aa51adb38b3253865392e276b46cad,4,partial_answer,2,audio,45,5
b9aa51adb38b3253865392e276b46cad,1,partial_answer,1,audio,45,5
auncqkpvl6b3rp0d3g833vmuh6,2,partial_answer,1,audio,45,5
auncqkpvl6b3rp0d3g833vmuh6,3,partial_answer,1,audio,45,5
auncqkpvl6b3rp0d3g833vmuh6,1,partial_answer,1,audio,45,5
auncqkpvl6b3rp0d3g833vmuh6,4,partial_answer,1,audio,45,5
auncqkpvl6b3rp0d3g833vmuh6,5,partial_answer,1,audio,45,5
tf1e0cg09vglistu7suqprqla3,1,partial_answer,2,audio,45,5
tf1e0cg09vglistu7suqprqla3,2,partial_answer,2,audio,45,5
tf1e0cg09vglistu7suqprqla3,4,partial_answer,2,audio,45,5
tf1e0cg09vglistu7suqprqla3,3,partial_answer,1,audio,45,5
tf1e0cg09vglistu7suqprqla3,5,partial_answer,1,audio,45,5
qia3n8stdcdbrgpq6pgrfhuhf4,4,partial_answer,1,audio,45,5
qia3n8stdcdbrgpq6pgrfhuhf4,2,partial_answer,1,audio,45,5
qia3n8stdcdbrgpq6pgrfhuhf4,5,partial_answer,1,audio,45,5
qia3n8stdcdbrgpq6pgrfhuhf4,1,partial_answer,1,audio,45,5
qia3n8stdcdbrgpq6pgrfhuhf4,3,partial_answer,1,audio,45,5
ocbq4ok768sfqi7krh97qiekg3,2,partial_answer,2,audio,45,5
ocbq4ok768sfqi7krh97qiekg3,5,partial_answer,4,audio,45,5
ocbq4ok768sfqi7krh97qiekg3,3,partial_answer,2,audio,45,5
ocbq4ok768sfqi7krh97qiekg3,4,partial_answer,4,audio,45,5
ocbq4ok768sfqi7krh97qiekg3,1,partial_answer,2,audio,45,5
iha5atv6engbc4g28sriiki7h3,2,partial_answer,2,audio,45,5
