id,item,kind,judgment,presentation,participants,items
1,2,sem,5,text,50,6
1,6,sem,7,text,50,6
1,5,sem,7,text,50,6
1,4,sem,7,text,50,6
1,1,sem,7,text,50,6
1,3,sem,7,text,50,6
2,2,sem,3,text,50,6
2,6,sem,2,text,50,6
2,5,sem,1,text,50,6
2,4,sem,2,text,50,6
2,1,sem,1,text,50,6
2,3,sem,5,text,50,6
3,2,sem,3,text,50,6
3,6,sem,3,text,50,6
3,5,sem,2,text,50,6
3,4,sem,2,text,50,6
3,1,sem,2,text,50,6
3,3,sem,3,text,50,6
4,2,sem,5,text,50,6
4,6,sem,4,text,50,6
4,5,sem,1,text,50,6
4,4,sem,1,text,50,6
4,1,sem,4,text,50,6
4,3,sem,1,text,50,6
5,5,sem,2,text,50,6
5,4,sem,2,text,50,6
5,1,sem,1,text,50,6
5,3,sem,1,text,50,6
5,2,sem,1,text,50,6
5,6,sem,1,text,50,6
6,5,sem,7,text,50,6
6,4,sem,7,text,50,6
6,1,sem,2,text,50,6
6,3,sem,7,text,50,6
6,2,sem,6,text,50,6
6,6,sem,6,text,50,6
7,5,sem,1,text,50,6
7,4,sem,1,text,50,6
7,1,sem,1,text,50,6
7,3,sem,1,text,50,6
7,2,sem,1,text,50,6
7,6,sem,1,text,50,6
8,5,sem,1,text,50,6
8,4,sem,1,text,50,6
8,1,sem,1,text,50,6
8,3,sem,1,text,50,6
8,2,sem,1,text,50,6
8,6,sem,2,text,50,6
9,4,sem,7,text,50,6
9,2,sem,1,text,50,6
9,1,sem,1,text,50,6
9,3,sem,1,text,50,6
9,6,sem,1,text,50,6
9,5,sem,1,text,50,6
10,4,sem,1,text,50,6
10,2,sem,1,text,50,6
10,1,sem,1,text,50,6
10,3,sem,1,text,50,6
10,6,sem,3,text,50,6
10,5,sem,1,text,50,6
11,4,sem,1,text,50,6
11,2,sem,1,text,50,6
11,1,sem,1,text,50,6
11,3,sem,2,text,50,6
11,6,sem,1,text,50,6
11,5,sem,1,text,50,6
12,4,sem,2,text,50,6
12,2,sem,1,text,50,6
12,1,sem,1,text,50,6
12,3,sem,1,text,50,6
12,6,sem,1,text,50,6
12,5,sem,1,text,50,6
13,2,sem,1,text,50,6
13,6,sem,1,text,50,6
13,4,sem,1,text,50,6
13,3,sem,1,text,50,6
13,1,sem,1,text,50,6
13,5,sem,1,text,50,6
14,2,sem,2,text,50,6
14,6,sem,3,text,50,6
14,4,sem,4,text,50,6
14,3,sem,2,text,50,6
14,1,sem,1,text,50,6
14,5,sem,2,text,50,6
15,2,sem,2,text,50,6
15,6,sem,1,text,50,6
15,4,sem,2,text,50,6
15,3,sem,2,text,50,6
15,1,sem,3,text,50,6
15,5,sem,1,text,50,6
16,2,sem,1,text,50,6
16,6,sem,1,text,50,6
16,4,sem,1,text,50,6
16,3,sem,1,text,50,6
16,1,sem,1,text,50,6
16,5,sem,1,text,50,6
17,3,sem,4,text,50,6
17,1,sem,3,text,50,6
17,4,sem,3,text,50,6
17,5,sem,1,text,50,6
17,6,sem,3,text,50,6
17,2,sem,2,text,50,6
18,3,sem,4,text,50,6
18,1,sem,1,text,50,6
18,4,sem,1,text,50,6
18,5,sem,1,text,50,6
18,6,sem,1,text,50,6
18,2,sem,1,text,50,6
19,3,sem,2,text,50,6
19,1,sem,2,text,50,6
19,4,sem,3,text,50,6
19,5,sem,1,text,50,6
19,6,sem,1,text,50,6
19,2,sem,1,text,50,6
20,3,sem,2,text,50,6
20,1,sem,1,text,50,6
20,4,sem,NA,text,50,6
20,5,sem,1,text,50,6
20,6,sem,1,text,50,6
20,2,sem,1,text,50,6
21,6,sem,2,text,50,6
21,2,sem,7,text,50,6
21,3,sem,NA,text,50,6
21,1,sem,NA,text,50,6
21,4,sem,NA,text,50,6
21,5,sem,4,text,50,6
22,6,sem,1,text,50,6
22,2,sem,1,text,50,6
22,3,sem,1,text,50,6
22,1,sem,1,text,50,6
22,4,sem,1,text,50,6
22,5,sem,1,text,50,6
23,6,sem,3,text,50,6
23,2,sem,1,text,50,6
23,3,sem,6,text,50,6
23,1,sem,3,text,50,6
23,4,sem,1,text,50,6
23,5,sem,7,text,50,6
24,6,sem,1,text,50,6
24,2,sem,1,text,50,6
24,3,sem,1,text,50,6
24,1,sem,1,text,50,6
24,4,sem,1,text,50,6
24,5,sem,7,text,50,6
25,5,sem,7,text,50,6
25,6,sem,3,text,50,6
25,3,sem,2,text,50,6
25,1,sem,1,text,50,6
25,2,sem,1,text,50,6
25,4,sem,4,text,50,6
26,5,sem,1,text,50,6
26,6,sem,2,text,50,6
26,3,sem,1,text,50,6
26,1,sem,1,text,50,6
26,2,sem,1,text,50,6
26,4,sem,1,text,50,6
27,5,sem,4,text,50,6
27,6,sem,3,text,50,6
27,3,sem,7,text,50,6
27,1,sem,4,text,50,6
27,2,sem,3,text,50,6
27,4,sem,2,text,50,6
28,5,sem,1,text,50,6
28,6,sem,2,text,50,6
28,3,sem,3,text,50,6
28,1,sem,2,text,50,6
28,2,sem,2,text,50,6
28,4,sem,1,text,50,6
29,5,sem,6,text,50,6
29,1,sem,5,text,50,6
29,3,sem,5,text,50,6
29,4,sem,6,text,50,6
29,6,sem,4,text,50,6
29,2,sem,1,text,50,6
30,5,sem,1,text,50,6
30,1,sem,1,text,50,6
30,3,sem,1,text,50,6
30,4,sem,2,text,50,6
30,6,sem,1,text,50,6
30,2,sem,1,text,50,6
31,5,sem,1,text,50,6
31,1,sem,7,text,50,6
31,3,sem,2,text,50,6
31,4,sem,4,text,50,6
31,6,sem,3,text,50,6
31,2,sem,3,text,50,6
32,5,sem,1,text,50,6
32,1,sem,1,text,50,6
32,3,sem,1,text,50,6
32,4,sem,1,text,50,6
32,6,sem,1,text,50,6
32,2,sem,1,text,50,6
1,1,sem,1,text,50,6
2,1,sem,1,text,50,6
3,1,sem,2,text,50,6
4,1,sem,1,text,50,6
5,1,sem,1,text,50,6
6,1,sem,1,text,50,6
7,1,sem,1,text,50,6
8,1,sem,1,text,50,6
9,1,sem,1,text,50,6
10,1,sem,1,text,50,6
11,1,sem,1,text,50,6
12,1,sem,2,text,50,6
13,1,sem,1,text,50,6
14,1,sem,1,text,50,6
15,1,sem,5,text,50,6
16,1,sem,1,text,50,6
17,1,sem,1,text,50,6
18,1,sem,1,text,50,6
19,1,sem,1,text,50,6
20,1,sem,1,text,50,6
21,1,sem,1,text,50,6
22,1,sem,1,text,50,6
23,1,sem,2,text,50,6
24,1,sem,2,text,50,6
25,1,sem,1,text,50,6
26,1,sem,1,text,50,6
1,2,sem,1,text,50,6
2,2,sem,1,text,50,6
3,2,sem,1,text,50,6
4,2,sem,1,text,50,6
5,2,sem,1,text,50,6
6,2,sem,1,text,50,6
7,2,sem,1,text,50,6
8,2,sem,1,text,50,6
9,2,sem,1,text,50,6
10,2,sem,1,text,50,6
11,2,sem,1,text,50,6
12,2,sem,1,text,50,6
13,2,sem,1,text,50,6
14,2,sem,1,text,50,6
15,2,sem,1,text,50,6
16,2,sem,1,text,50,6
17,2,sem,1,text,50,6
18,2,sem,1,text,50,6
19,2,sem,1,text,50,6
20,2,sem,1,text,50,6
21,2,sem,1,text,50,6
22,2,sem,2,text,50,6
23,2,sem,1,text,50,6
24,2,sem,1,text,50,6
25,2,sem,2,text,50,6
26,2,sem,1,text,50,6
1,3,sem,2,text,50,6
2,3,sem,5,text,50,6
3,3,sem,1,text,50,6
4,3,sem,1,text,50,6
5,3,sem,2,text,50,6
6,3,sem,1,text,50,6
7,3,sem,1,text,50,6
8,3,sem,1,text,50,6
9,3,sem,1,text,50,6
10,3,sem,1,text,50,6
11,3,sem,1,text,50,6
12,3,sem,2,text,50,6
13,3,sem,1,text,50,6
14,3,sem,3,text,50,6
15,3,sem,1,text,50,6
16,3,sem,1,text,50,6
17,3,sem,1,text,50,6
18,3,sem,1,text,50,6
19,3,sem,1,text,50,6
20,3,sem,1,text,50,6
21,3,sem,1,text,50,6
22,3,sem,3,text,50,6
23,3,sem,1,text,50,6
24,3,sem,2,text,50,6
25,3,sem,1,text,50,6
26,3,sem,1,text,50,6
1,4,sem,5,text,50,6
2,4,sem,1,text,50,6
3,4,sem,1,text,50,6
4,4,sem,1,text,50,6
5,4,sem,1,text,50,6
6,4,sem,1,text,50,6
7,4,sem,1,text,50,6
8,4,sem,1,text,50,6
9,4,sem,1,text,50,6
10,4,sem,4,text,50,6
11,4,sem,1,text,50,6
12,4,sem,2,text,50,6
