id,item,kind,judgment,presentation,participants,items
1,5,strict_sloppy,5,text,19,12
1,3,strict_sloppy,7,text,19,12
1,11,strict_sloppy,4,text,19,12
1,10,strict_sloppy,7,text,19,12
1,4,strict_sloppy,7,text,19,12
1,7,strict_sloppy,4,text,19,12
1,12,strict_sloppy,3,text,19,12
1,9,strict_sloppy,7,text,19,12
1,8,strict_sloppy,3,text,19,12
1,1,strict_sloppy,4,text,19,12
1,6,strict_sloppy,6,text,19,12
1,2,strict_sloppy,5,text,19,12
2,5,strict_sloppy,3,text,19,12
2,3,strict_sloppy,7,text,19,12
2,11,strict_sloppy,4,text,19,12
2,10,strict_sloppy,5,text,19,12
2,4,strict_sloppy,7,text,19,12
2,7,strict_sloppy,3,text,19,12
2,12,strict_sloppy,2,text,19,12
2,9,strict_sloppy,5,text,19,12
2,8,strict_sloppy,5,text,19,12
2,1,strict_sloppy,1,text,19,12
2,6,strict_sloppy,6,text,19,12
2,2,strict_sloppy,4,text,19,12
3,5,strict_sloppy,7,text,19,12
3,3,strict_sloppy,7,text,19,12
3,11,strict_sloppy,3,text,19,12
3,10,strict_sloppy,4,text,19,12
3,4,strict_sloppy,7,text,19,12
3,7,strict_sloppy,7,text,19,12
3,12,strict_sloppy,4,text,19,12
3,9,strict_sloppy,5,text,19,12
3,8,strict_sloppy,4,text,19,12
3,1,strict_sloppy,6,text,19,12
3,6,strict_sloppy,5,text,19,12
3,2,strict_sloppy,6,text,19,12
4,2,strict_sloppy,6,text,19,12
4,6,strict_sloppy,5,text,19,12
4,1,strict_sloppy,5,text,19,12
4,8,strict_sloppy,7,text,19,12
4,9,strict_sloppy,7,text,19,12
4,12,strict_sloppy,2,text,19,12
4,7,strict_sloppy,5,text,19,12
4,4,strict_sloppy,6,text,19,12
4,10,strict_sloppy,2,text,19,12
4,11,strict_sloppy,1,text,19,12
4,3,strict_sloppy,6,text,19,12
4,5,strict_sloppy,4,text,19,12
5,2,strict_sloppy,6,text,19,12
5,6,strict_sloppy,5,text,19,12
5,1,strict_sloppy,5,text,19,12
5,8,strict_sloppy,2,text,19,12
5,9,strict_sloppy,6,text,19,12
5,12,strict_sloppy,3,text,19,12
5,7,strict_sloppy,5,text,19,12
5,4,strict_sloppy,4,text,19,12
