id,item,kind,judgment,presentation,participants,items
1,8,stupid,3,text,19,12
1,4,stupid,4,text,19,12
1,10,stupid,3,text,19,12
1,5,stupid,4,text,19,12
1,9,stupid,5,text,19,12
1,7,stupid,2,text,19,12
1,12,stupid,6,text,19,12
1,1,stupid,6,text,19,12
1,3,stupid,7,text,19,12
1,11,stupid,3,text,19,12
1,2,stupid,4,text,19,12
1,6,stupid,4,text,19,12
2,8,stupid,2,text,19,12
2,4,stupid,1,text,19,12
2,10,stupid,1,text,19,12
2,5,stupid,1,text,19,12
2,9,stupid,2,text,19,12
2,7,stupid,2,text,19,12
2,12,stupid,4,text,19,12
2,1,stupid,1,text,19,12
2,3,stupid,1,text,19,12
2,11,stupid,1,text,19,12
2,2,stupid,1,text,19,12
2,6,stupid,1,text,19,12
3,8,stupid,3,text,19,12
3,4,stupid,1,text,19,12
3,10,stupid,2,text,19,12
3,5,stupid,1,text,19,12
3,9,stupid,1,text,19,12
3,7,stupid,5,text,19,12
3,12,stupid,6,text,19,12
3,1,stupid,7,text,19,12
3,3,stupid,3,text,19,12
3,11,stupid,1,text,19,12
3,2,stupid,1,text,19,12
3,6,stupid,2,text,19,12
4,6,stupid,7,text,19,12
4,2,stupid,2,text,19,12
4,11,stupid,1,text,19,12
4,3,stupid,4,text,19,12
4,1,stupid,1,text,19,12
4,12,stupid,7,text,19,12
4,7,stupid,7,text,19,12
4,9,stupid,1,text,19,12
4,5,stupid,1,text,19,12
4,10,stupid,2,text,19,12
4,4,stupid,1,text,19,12
4,8,stupid,4,text,19,12
5,6,stupid,2,text,19,12
5,2,stupid,2,text,19,12
5,11,stupid,2,text,19,12
5,3,stupid,2,text,19,12
5,1,stupid,5,text,19,12
5,12,stupid,5,text,19,12
5,7,stupid,2,text,19,12
5,9,stupid,3,text,19,12
5,5,stupid,1,text,19,12
5,10,stupid,1,text,19,12
5,4,stupid,1,text,19,12
5,8,stupid,2,text,19,12
6,12,stupid,3,text,19,12
6,10,stupid,1,text,19,12
6,1,stupid,1,text,19,12
6,6,stupid,1,text,19,12
6,8,stupid,1,text,19,12
6,3,stupid,1,text,19,12
6,4,stupid,1,text,19,12
6,9,stupid,1,text,19,12
6,2,stupid,1,text,19,12
6,11,stupid,1,text,19,12
6,7,stupid,1,text,19,12
6,5,stupid,1,text,19,12
7,12,stupid,7,text,19,12
7,10,stupid,1,text,19,12
7,1,stupid,5,text,19,12
7,6,stupid,1,text,19,12
7,8,stupid,1,text,19,12
7,3,stupid,1,text,19,12
7,4,stupid,1,text,19,12
7,9,stupid,1,text,19,12
7,2,stupid,1,text,19,12
7,11,stupid,1,text,19,12
7,7,stupid,3,text,19,12
7,5,stupid,1,text,19,12
8,12,stupid,6,text,19,12
8,10,stupid,2,text,19,12
8,1,stupid,6,text,19,12
8,6,stupid,2,text,19,12
8,8,stupid,3,text,19,12
8,3,stupid,3,text,19,12
8,4,stupid,2,text,19,12
8,9,stupid,3,text,19,12
8,2,stupid,5,text,19,12
8,11,stupid,3,text,19,12
8,7,stupid,3,text,19,12
8,5,stupid,3,text,19,12
9,5,stupid,1,text,19,12
9,7,stupid,7,text,19,12
9,11,stupid,1,text,19,12
9,2,stupid,1,text,19,12
9,9,stupid,2,text,19,12
9,4,stupid,1,text,19,12
9,3,stupid,1,text,19,12
9,8,stupid,6,text,19,12
9,6,stupid,4,text,19,12
9,1,stupid,7,text,19,12
9,10,stupid,3,text,19,12
