id,item,kind,judgment,presentation,participants,items
1,5,syn,4,text,50,6
1,6,syn,3,text,50,6
1,3,syn,4,text,50,6
1,2,syn,3,text,50,6
1,1,syn,3,text,50,6
1,4,syn,3,text,50,6
2,5,syn,2,text,50,6
2,6,syn,1,text,50,6
2,3,syn,2,text,50,6
2,2,syn,1,text,50,6
2,1,syn,1,text,50,6
2,4,syn,1,text,50,6
3,5,syn,5,text,50,6
3,6,syn,3,text,50,6
3,3,syn,3,text,50,6
3,2,syn,2,text,50,6
3,1,syn,2,text,50,6
3,4,syn,2,text,50,6
4,5,syn,4,text,50,6
4,6,syn,3,text,50,6
4,3,syn,3,text,50,6
4,2,syn,1,text,50,6
4,1,syn,1,text,50,6
4,4,syn,1,text,50,6
5,3,syn,5,text,50,6
5,1,syn,2,text,50,6
5,4,syn,2,text,50,6
5,2,syn,1,text,50,6
5,6,syn,1,text,50,6
5,5,syn,1,text,50,6
6,3,syn,5,text,50,6
6,1,syn,1,text,50,6
6,4,syn,1,text,50,6
6,2,syn,1,text,50,6
6,6,syn,1,text,50,6
6,5,syn,1,text,50,6
7,3,syn,4,text,50,6
7,1,syn,1,text,50,6
7,4,syn,1,text,50,6
7,2,syn,1,text,50,6
7,6,syn,1,text,50,6
7,5,syn,3,text,50,6
8,3,syn,6,text,50,6
8,1,syn,1,text,50,6
8,4,syn,1,text,50,6
8,2,syn,1,text,50,6
8,6,syn,2,text,50,6
8,5,syn,4,text,50,6
9,1,syn,3,text,50,6
9,4,syn,4,text,50,6
9,6,syn,3,text,50,6
9,5,syn,3,text,50,6
9,2,syn,1,text,50,6
9,3,syn,2,text,50,6
10,1,syn,1,text,50,6
10,4,syn,1,text,50,6
10,6,syn,1,text,50,6
10,5,syn,1,text,50,6
10,2,syn,1,text,50,6
10,3,syn,1,text,50,6
11,1,syn,1,text,50,6
11,4,syn,1,text,50,6
11,6,syn,1,text,50,6
11,5,syn,1,text,50,6
11,2,syn,1,text,50,6
11,3,syn,1,text,50,6
12,1,syn,1,text,50,6
12,4,syn,1,text,50,6
12,6,syn,1,text,50,6
12,5,syn,7,text,50,6
12,2,syn,1,text,50,6
12,3,syn,4,text,50,6
13,2,syn,1,text,50,6
13,6,syn,1,text,50,6
13,1,syn,1,text,50,6
13,4,syn,1,text,50,6
13,3,syn,1,text,50,6
13,5,syn,1,text,50,6
14,2,syn,1,text,50,6
14,6,syn,1,text,50,6
14,1,syn,1,text,50,6
14,4,syn,1,text,50,6
14,3,syn,2,text,50,6
14,5,syn,1,text,50,6
15,2,syn,1,text,50,6
15,6,syn,2,text,50,6
15,1,syn,1,text,50,6
15,4,syn,6,text,50,6
15,3,syn,4,text,50,6
15,5,syn,5,text,50,6
16,2,syn,1,text,50,6
16,6,syn,1,text,50,6
16,1,syn,1,text,50,6
16,4,syn,1,text,50,6
16,3,syn,1,text,50,6
16,5,syn,1,text,50,6
17,4,syn,2,text,50,6
17,1,syn,1,text,50,6
17,2,syn,1,text,50,6
17,3,syn,4,text,50,6
17,6,syn,1,text,50,6
17,5,syn,3,text,50,6
18,4,syn,3,text,50,6
18,1,syn,2,text,50,6
18,2,syn,2,text,50,6
18,3,syn,2,text,50,6
18,6,syn,3,text,50,6
18,5,syn,3,text,50,6
19,4,syn,7,text,50,6
19,1,syn,1,text,50,6
19,2,syn,1,text,50,6
19,3,syn,2,text,50,6
19,6,syn,1,text,50,6
19,5,syn,1,text,50,6
20,4,syn,1,text,50,6
20,1,syn,1,text,50,6
20,2,syn,1,text,50,6
20,3,syn,1,text,50,6
20,6,syn,1,text,50,6
20,5,syn,1,text,50,6
21,5,syn,4,text,50,6
21,6,syn,2,text,50,6
21,2,syn,NA,text,50,6
21,4,syn,NA,text,50,6
21,1,syn,NA,text,50,6
21,3,syn,4,text,50,6
22,5,syn,3,text,50,6
22,6,syn,1,text,50,6
22,2,syn,1,text,50,6
22,4,syn,1,text,50,6
22,1,syn,1,text,50,6
22,3,syn,2,text,50,6
23,5,syn,1,text,50,6
23,6,syn,1,text,50,6
