id,item,kind,judgment,presentation,participants,items
1,3,synsem,5,text,50,6
1,6,synsem,3,text,50,6
1,4,synsem,3,text,50,6
1,2,synsem,3,text,50,6
1,1,synsem,2,text,50,6
1,5,synsem,3,text,50,6
2,3,synsem,1,text,50,6
2,6,synsem,1,text,50,6
2,4,synsem,1,text,50,6
2,2,synsem,1,text,50,6
2,1,synsem,1,text,50,6
2,5,synsem,1,text,50,6
3,3,synsem,2,text,50,6
3,6,synsem,1,text,50,6
3,4,synsem,2,text,50,6
3,2,synsem,2,text,50,6
3,1,synsem,2,text,50,6
3,5,synsem,2,text,50,6
4,3,synsem,2,text,50,6
4,6,synsem,2,text,50,6
4,4,synsem,1,text,50,6
4,2,synsem,2,text,50,6
4,1,synsem,1,text,50,6
4,5,synsem,2,text,50,6
5,6,synsem,1,text,50,6
5,3,synsem,1,text,50,6
5,2,synsem,1,text,50,6
5,5,synsem,1,text,50,6
5,4,synsem,1,text,50,6
5,1,synsem,1,text,50,6
6,6,synsem,1,text,50,6
6,3,synsem,1,text,50,6
6,2,synsem,1,text,50,6
6,5,synsem,1,text,50,6
6,4,synsem,1,text,50,6
6,1,synsem,1,text,50,6
7,6,synsem,1,text,50,6
7,3,synsem,1,text,50,6
7,2,synsem,1,text,50,6
7,5,synsem,1,text,50,6
7,4,synsem,1,text,50,6
7,1,synsem,1,text,50,6
8,6,synsem,1,text,50,6
8,3,synsem,1,text,50,6
8,2,synsem,1,text,50,6
8,5,synsem,1,text,50,6
8,4,synsem,1,text,50,6
8,1,synsem,1,text,50,6
9,2,synsem,2,text,50,6
9,3,synsem,2,text,50,6
9,1,synsem,1,text,50,6
9,6,synsem,1,text,50,6
9,5,synsem,1,text,50,6
9,4,synsem,1,text,50,6
10,2,synsem,1,text,50,6
10,3,synsem,1,text,50,6
10,1,synsem,1,text,50,6
10,6,synsem,1,text,50,6
10,5,synsem,1,text,50,6
10,4,synsem,1,text,50,6
11,2,synsem,1,text,50,6
11,3,synsem,1,text,50,6
11,1,synsem,1,text,50,6
11,6,synsem,1,text,50,6
11,5,synsem,1,text,50,6
11,4,synsem,1,text,50,6
12,2,synsem,1,text,50,6
12,3,synsem,1,text,50,6
12,1,synsem,1,text,50,6
12,6,synsem,1,text,50,6
12,5,synsem,1,text,50,6
12,4,synsem,1,text,50,6
13,3,synsem,1,text,50,6
13,5,synsem,1,text,50,6
13,1,synsem,1,text,50,6
13,4,synsem,1,text,50,6
13,6,synsem,1,text,50,6
13,2,synsem,1,text,50,6
14,3,synsem,1,text,50,6
14,5,synsem,1,text,50,6
14,1,synsem,1,text,50,6
14,4,synsem,1,text,50,6
14,6,synsem,1,text,50,6
14,2,synsem,1,text,50,6
15,3,synsem,1,text,50,6
15,5,synsem,1,text,50,6
15,1,synsem,1,text,50,6
15,4,synsem,1,text,50,6
15,6,synsem,1,text,50,6
15,2,synsem,1,text,50,6
16,3,synsem,1,text,50,6
16,5,synsem,1,text,50,6
16,1,synsem,1,text,50,6
16,4,synsem,1,text,50,6
16,6,synsem,1,text,50,6
16,2,synsem,1,text,50,6
17,5,synsem,1,text,50,6
17,1,synsem,1,text,50,6
17,2,synsem,1,text,50,6
17,4,synsem,1,text,50,6
17,6,synsem,1,text,50,6
17,3,synsem,1,text,50,6
18,5,synsem,1,text,50,6
18,1,synsem,1,text,50,6
18,2,synsem,1,text,50,6
18,4,synsem,1,text,50,6
18,6,synsem,1,text,50,6
18,3,synsem,1,text,50,6
19,5,synsem,1,text,50,6
19,1,synsem,1,text,50,6
19,2,synsem,1,text,50,6
19,4,synsem,2,text,50,6
19,6,synsem,1,text,50,6
19,3,synsem,1,text,50,6
20,5,synsem,1,text,50,6
20,1,synsem,1,text,50,6
20,2,synsem,1,text,50,6
20,4,synsem,NA,text,50,6
20,6,synsem,NA,text,50,6
20,3,synsem,NA,text,50,6
21,1,synsem,1,text,50,6
21,4,synsem,1,text,50,6
21,5,synsem,2,text,50,6
21,2,synsem,2,text,50,6
21,3,synsem,NA,text,50,6
21,6,synsem,NA,text,50,6
22,1,synsem,1,text,50,6
22,4,synsem,1,text,50,6
22,5,synsem,1,text,50,6
22,2,synsem,1,text,50,6
22,3,synsem,1,text,50,6
22,6,synsem,1,text,50,6
23,1,synsem,1,text,50,6
23,4,synsem,1,text,50,6
23,5,synsem,1,text,50,6
23,2,synsem,1,text,50,6
23,3,synsem,1,text,50,6
23,6,synsem,1,text,50,6
24,1,synsem,1,text,50,6
24,4,synsem,1,text,50,6
24,5,synsem,1,text,50,6
24,2,synsem,1,text,50,6
24,3,synsem,1,text,50,6
24,6,synsem,1,text,50,6
25,4,synsem,1,text,50,6
25,5,synsem,1,text,50,6
25,6,synsem,1,text,50,6
25,1,synsem,1,text,50,6
25,3,synsem,1,text,50,6
25,2,synsem,1,text,50,6
26,4,synsem,1,text,50,6
26,5,synsem,1,text,50,6
26,6,synsem,1,text,50,6
26,1,synsem,1,text,50,6
26,3,synsem,1,text,50,6
26,2,synsem,1,text,50,6
27,4,synsem,1,text,50,6
27,5,synsem,1,text,50,6
27,6,synsem,2,text,50,6
27,1,synsem,1,text,50,6
27,3,synsem,2,text,50,6
27,2,synsem,1,text,50,6
28,4,synsem,2,text,50,6
28,5,synsem,4,text,50,6
28,6,synsem,1,text,50,6
28,1,synsem,1,text,50,6
28,3,synsem,1,text,50,6
28,2,synsem,1,text,50,6
29,2,synsem,1,text,50,6
29,6,synsem,1,text,50,6
29,4,synsem,1,text,50,6
29,1,synsem,2,text,50,6
