id,item,kind,judgment,presentation,participants,items
2vd7q1vugsb1fdpkbp4hb4sb15,15,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,3,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,10,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,12,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,19,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,18,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,21,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,24,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,16,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,14,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,4,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,22,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,5,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,1,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,13,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,7,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,20,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,2,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,17,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,23,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,9,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,8,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,6,tun,1,text,12,24
2vd7q1vugsb1fdpkbp4hb4sb15,11,tun,1,text,12,24
37svt12fnupsa4p1k0j52anj77,7,tun,1,text,12,24
37svt12fnupsa4p1k0j52anj77,9,tun,1,text,12,24
37svt12fnupsa4p1k0j52anj77,8,tun,1,text,12,24
37svt12fnupsa4p1k0j52anj77,3,tun,3,text,12,24
37svt12fnupsa4p1k0j52anj77,15,tun,1,text,12,24
37svt12fnupsa4p1k0j52anj77,5,tun,1,text,12,24
37svt12fnupsa4p1k0j52anj77,2,tun,1,text,12,24
37svt12fnupsa4p1k0j52anj77,17,tun,3,text,12,24
